"fileid","fid","dist","ratio"
1000_291_6_1,1000,500708.390491295,1051.90838338507
1000_291_6_2,1000,380694.548858399,928.523289898533
100_1080_0_1,100,13061432.7375863,2613.33188026937
1001_291_7_2,1001,1960165.29147029,3322.31405333947
1002_291_8_1,1002,4318.52406107015,38.2170270891164
1002_291_8_2,1002,2254.28478746936,25.9113193961996
1003_292_0_1,1003,1199404.49005994,2284.57998106655
1006_292_3_1,1006,514361.880498356,671.490705611431
1006_292_3_2,1006,337249.529735902,402.445739541649
1008_292_5_2,1008,243936.898829078,640.254327635375
10_1003_0_1,10,8450485.88556192,1690.77348650699
10_1003_0_2,10,8873709.36126132,1775.45205307349
1010_292_7_1,1010,712535.921118851,1729.45611922051
1010_292_7_2,1010,820812.846291064,1945.05413813048
101_1081_0_1,101,12951855.9600216,2591.40775510636
1013_293_2_2,1013,6479499.38633491,6016.24826957745
1015_293_4_2,1015,2512509.92142544,3818.40413590492
1018_294_1_1,1018,139613.119421321,586.609745467735
1018_294_1_2,1018,170566.313881705,716.665184376912
1019_294_2_2,1019,2389648.21505743,4229.46586735829
102_1082_0_1,102,10220161.6281316,2044.85026573262
1022_294_5_2,1022,1333718.72305792,2784.38146776184
1023_294_6_1,1023,2280667.20473654,3203.18427631537
1025_294_8_1,1025,574798.653632614,1324.42086090464
1025_294_8_2,1025,554847.210957341,1278.44979483258
1027_295_1_1,1027,2214617.31059397,3526.46068565918
1027_295_1_2,1027,2156154.31083975,3433.36673700596
1028_295_2_1,1028,6806628.72506965,4935.91640686704
1029_295_3_2,1029,1931105.98120051,3854.50295648805
103_1083_0_1,103,49493045.140057,9902.57005603382
103_1083_0_2,103,51160821.3196883,10236.2587674446
1033_296_0_1,1033,12390569.2179898,9057.43363888146
1033_296_0_2,1033,12366953.0307558,9040.17034411974
1034_296_1_1,1034,3904494.58755091,5051.09261002705
1035_296_2_2,1035,9286980.34742987,6609.95042521699
1036_296_3_1,1036,251439.305887403,344.43740532521
1036_296_3_2,1036,184182.351233463,278.641983711745
1037_296_4_1,1037,2369791.10546768,2865.52733430191
1037_296_4_2,1037,2387422.31365451,2886.84681215781
1038_296_5_1,1038,53329.6445765627,124.311525819494
1038_296_5_2,1038,54847.5308830884,146.260082354902
1039_297_0_1,1039,11572494.9313067,7399.29343433934
1039_297_0_2,1039,12153585.9225083,7770.83498881607
1040_297_1_1,1040,35599.5599941192,82.7896744049284
1040_297_1_2,1040,70941.0763402954,185.709623927475
104_1084_0_1,104,20274880.4128599,4056.59872206081
104_1084_0_2,104,20208991.3918039,4043.41564461863
1041_297_2_1,1041,977620.980918219,1470.10673822289
1041_297_2_2,1041,1118108.27350672,1681.36582482213
1043_297_4_1,1043,6264863.15596524,3341.26034984813
1044_298_0_1,1044,496459.856547842,165.376367937323
1045_298_1_1,1045,7331324.7897252,3676.69247227944
1045_298_1_2,1045,8205075.19659164,4114.88224503091
1046_299_0_1,1046,835058.427489636,1338.23465943852
1046_299_0_2,1046,243496.232666686,390.218321581228
1047_299_1_1,1047,208653.737664821,466.7868851562
1047_299_1_2,1047,196732.857269473,440.118248924995
1049_299_3_1,1049,19699987.3583421,9358.66382819104
1050_299_4_1,1050,2171709.87880183,1845.12309159034
1050_299_4_2,1050,2226093.2547326,1891.32816884673
105_1085_0_1,105,13614737.9826326,2724.03721141109
1051_29_0_1,1051,9663195.04437925,5842.31864835505
1051_29_0_2,1051,9701705.17750643,5865.60167926628
1052_29_1_1,1052,27505.8345287925,100.021216468336
1053_29_2_1,1053,6418114.46645245,2883.24998492922
1053_29_2_2,1053,6669582.55048211,2996.21857613752
1054_29_3_1,1054,1982214.34058492,3111.79645303756
1054_29_3_2,1054,1970768.92157838,3093.82876228945
1055_29_4_1,1055,247065.673860298,667.745064487291
1055_29_4_2,1055,101260.246804799,293.507961753041
1056_2_0_1,1056,19941.2737372032,47.9357541759692
1056_2_0_2,1056,64710.5785284266,155.554275308718
1057_2_1_1,1057,11220735.3706058,2449.94222065628
1057_2_1_2,1057,11215184.2728206,2448.73019057219
1058_300_0_1,1058,13393830.0092045,7809.81341644576
1058_300_0_2,1058,13324577.4451416,7769.43291261899
106_1086_0_1,106,8886069.9207912,1777.92515421993
106_1086_0_2,106,8548637.33249597,1710.41163115165
1061_300_3_1,1061,8568517.99595642,5124.71172006963
1061_300_3_2,1061,9670743.49444466,5652.10023053457
1062_300_4_1,1062,1949705.65085005,3104.62683256377
1062_300_4_2,1062,2455621.55642232,2987.37415623153
1063_300_5_1,1063,1484352.66978848,868.550421175236
1063_300_5_2,1063,1134459.16203088,663.814606220529
1067_300_9_1,1067,8837.58543984191,39.8089434227113
1068_300_10_1,1068,6163.77995267687,29.9212619061984
1069_300_11_1,1069,3820.94078601017,23.5860542346307
1069_300_11_2,1069,27947.9209301495,172.518030433022
1070_301_0_1,1070,9206082.91834099,2954.45536532124
107_1087_0_1,107,8253482.39299329,1651.35702140722
107_1087_0_2,107,7165822.60600083,1433.73801640673
1071_301_1_1,1071,588442.734055039,1087.69451766181
1071_301_1_2,1071,324607.767718519,787.882931355629
1072_301_2_1,1072,1846740.32382216,1160.74187543819
1072_301_2_2,1072,1941033.25160913,1220.00832910693
1073_302_0_1,1073,2704622.73362669,1803.08182241779
1073_302_0_2,1073,1795286.83071984,1196.85788714656
1074_302_1_1,1074,1147466.25315973,3519.8351323918
1074_302_1_2,1074,1160513.8930166,3559.85856753558
1075_302_2_1,1075,160994.070256448,208.271759710799
1075_302_2_2,1075,293015.913807418,517.695960790491
1076_302_3_1,1076,13815442.0533154,8267.76903250473
1076_302_3_2,1076,13840192.4092545,8282.58073564006
1077_302_4_1,1077,164352.118875695,825.890044601482
1079_302_6_2,1079,72099.2793350407,351.703801634345
108_1088_0_1,108,14085428.7079491,2818.21302680053
108_1088_0_2,108,14562856.2539081,2913.73674547982
1082_303_0_1,1082,10090560.5954284,7066.21890436165
1082_303_0_2,1082,9668548.66622475,6770.69234329464
1084_303_2_1,1084,7010467.65860625,9310.05001142928
1085_303_3_1,1085,438751.25462963,706.523759468003
1085_303_3_2,1085,310938.33161496,488.896747822264
1086_303_4_1,1086,196508.382074622,313.41049772667
1086_303_4_2,1086,186810.295041514,286.080084290221
1087_303_5_1,1087,851733.64025581,1706.88104259681
1087_303_5_2,1087,768635.401282473,1540.3515055761
1088_303_6_1,1088,361764.830009922,242.469725207723
1088_303_6_2,1088,714822.407747647,479.103490447485
1089_304_0_1,1089,14487810.3738873,4716.08410608311
1089_304_0_2,1089,14564189.2119001,4740.94700908208
1090_304_1_1,1090,206099.946220199,256.662448593025
1090_304_1_2,1090,229892.434966865,286.291948900205
109_1089_0_1,109,47132304.4636148,9430.23298591733
109_1089_0_2,109,49610945.6814026,9926.15960012057
1091_304_2_1,1091,1226774.88030799,1096.31356595888
1091_304_2_2,1091,1232518.31450988,1101.44621493287
1092_305_0_1,1092,3031721.04988484,1989.31827420265
1093_305_1_1,1093,27215486.9484369,14072.1235514151
1093_305_1_2,1093,23919165.7342467,12367.7175461462
1095_305_3_1,1095,152734.717943426,675.817336032857
1097_306_1_1,1097,25834226.5723289,7859.51523344355
1097_306_1_2,1097,25987972.8799542,7906.28928504843
110_108_0_1,110,1599372.64881479,320.002530775267
1102_306_6_1,1102,786513.585689616,841.191000737557
1103_306_7_1,1103,25505.1688591705,41.9492908867937
1104_307_0_1,1104,159069.80746304,210.967914407215
1105_307_1_1,1105,15079803.4915422,3554.88059678035
1105_307_1_2,1105,15621852.639451,3682.6621026523
1106_308_0_1,1106,8040892.14358289,6068.5978442135
1106_308_0_2,1106,8041307.01631732,6147.78823877471
1109_308_3_1,1109,192264.488753658,72.9103104867873
1109_308_3_2,1109,191769.969087734,72.7227793279235
11_1004_0_1,11,12569789.1302277,2514.96381157018
11_1004_0_2,11,12874180.5083296,2575.86644824521
1110_309_0_1,1110,1426561.66119889,320.791918416662
1110_309_0_2,1110,1478510.94131468,332.473789366916
111_1090_0_1,111,27994257.3277655,5601.09190231402
111_1090_0_2,111,29867678.0060464,5975.92597159792
1111_309_1_1,1111,625148.674107226,768.940558557473
1112_309_2_1,1112,67930.1947557137,168.980583969437
1112_309_2_2,1112,165578.698245488,411.887309068379
1113_30_0_1,1113,1073869.61804796,544.834915295768
1113_30_0_2,1113,1119032.36802487,567.748537810691
1114_30_1_1,1114,6969739.30705895,8257.98496097032
1114_30_1_2,1114,6756666.07822857,8005.52852870684
1116_30_3_1,1116,109815.491844265,382.63237576399
1116_30_3_2,1116,106078.688861774,369.612156312801
1118_310_0_1,1118,182781.72357351,164.668219435595
1118_310_0_2,1118,128886.666957827,116.114114376421
1120_310_2_1,1120,145.967145321295,72.9835726606474
112_1091_0_1,112,32588322.5946075,6520.27262797269
1123_310_5_1,1123,9851.77541691993,49.7564414995956
1123_310_5_2,1123,29885.398519617,150.936356159682
1124_311_0_1,1124,3864.28632863256,26.4677145796751
1124_311_0_2,1124,26157.160788307,179.158635536349
1125_311_1_1,1125,25097552.8714987,6965.73768290278
1125_311_1_2,1125,25585583.8728576,7101.18897387112
1127_311_3_1,1127,358133.035888593,523.586309778644
1127_311_3_2,1127,1555720.17396013,1458.03202807885
1128_311_4_1,1128,29806.2189755102,58.4435666186474
1129_312_0_1,1129,622063.749356796,932.629309380503
1129_312_0_2,1129,499445.309445953,748.793567385237
1130_312_1_1,1130,13651634.8946397,3153.53081419258
1130_312_1_2,1130,15077194.7053605,3482.83545977373
113_1092_0_1,113,15049268.0762435,3011.05803846408
113_1092_0_2,113,13648137.2834623,2730.7197445903
1131_313_0_1,1131,16182626.6826964,3240.41383313904
1132_313_1_2,1132,10780.4645126652,145.681952873854
1133_314_0_1,1133,15486342.1517782,5237.18030158208
1133_314_0_2,1133,15569835.6701186,5265.41618874487
1134_314_1_1,1134,63139.6405237739,117.142190211083
1135_314_2_1,1135,39671.1881560359,68.2808746231255
1135_314_2_2,1135,18397.8347214199,31.6658084706023
1136_314_3_1,1136,3827334.07107438,3039.97940514248
1136_314_3_2,1136,4622714.02034646,3671.73472624818
1137_315_0_1,1137,15778992.1769395,7383.71182823563
1139_315_2_1,1139,1020532.98277967,1635.46952368537
1139_315_2_2,1139,966223.044456331,1571.09438122981
1140_315_3_1,1140,47523.5902234218,77.5262483253211
114_1093_0_1,114,16823887.9489435,3366.12403940447
114_1093_0_2,114,15893381.9084249,3179.94836102939
1141_315_4_1,1141,342729.680889331,715.510816052884
1141_315_4_2,1141,647518.573690258,1351.81330624271
1142_315_5_1,1142,56536.8657743864,158.811420714568
1142_315_5_2,1142,11355.3871162491,31.8971548209243
1143_315_6_1,1143,792805.080979337,1192.18809169825
1143_315_6_2,1143,846265.439811216,1272.57960873867
1144_316_0_1,1144,463577.626105253,1182.59598496238
1144_316_0_2,1144,190360.437866234,580.367188616566
1145_316_1_2,1145,258100.668290668,966.669169627972
1147_317_0_1,1147,20184.201460274,146.262329422276
1148_317_1_1,1148,69485151.1507228,14356.4361881659
1148_317_1_2,1148,69546924.2083537,14369.199216602
115_1094_0_1,115,23155261.8710567,4632.90553642591
1151_318_0_1,1151,28096863.5157342,5621.62135168753
1151_318_0_2,1151,30735166.3402867,6149.49306528345
1152_319_0_1,1152,433728.437075557,1027.79250491838
1152_319_0_2,1152,415368.231662745,984.284909153425
1153_319_1_1,1153,7980519.17538279,1744.75714372164
