"fileid","fid","dist","ratio"
1000_291_6_1,1000,419,0.880252100840336
1000_291_6_2,1000,353,0.860975609756098
100_1080_0_1,100,4964,0.993197278911565
1001_291_7_2,1001,548,0.928813559322034
1002_291_8_1,1002,58,0.513274336283186
1002_291_8_2,1002,50,0.574712643678161
1003_292_0_1,1003,518,0.986666666666667
1006_292_3_1,1006,616,0.804177545691906
1006_292_3_2,1006,634,0.756563245823389
1008_292_5_2,1008,314,0.824146981627297
10_1003_0_1,10,4940,0.988395358143257
10_1003_0_2,10,4903,0.980992396958783
1010_292_7_1,1010,393,0.953883495145631
1010_292_7_2,1010,398,0.943127962085308
101_1081_0_1,101,4759,0.95218087234894
1013_293_2_2,1013,1027,0.953574744661096
1015_293_4_2,1015,633,0.962006079027356
1018_294_1_1,1018,201,0.84453781512605
1018_294_1_2,1018,219,0.920168067226891
1019_294_2_2,1019,550,0.973451327433628
102_1082_0_1,102,4911,0.982593037214886
1022_294_5_2,1022,459,0.958246346555324
1023_294_6_1,1023,660,0.926966292134832
1025_294_8_1,1025,347,0.799539170506912
1025_294_8_2,1025,358,0.824884792626728
1027_295_1_1,1027,610,0.971337579617834
1027_295_1_2,1027,605,0.963375796178344
1028_295_2_1,1028,1319,0.956490210297317
1029_295_3_2,1029,473,0.944111776447106
103_1083_0_1,103,4741,0.948579431772709
103_1083_0_2,103,4934,0.98719487795118
1033_296_0_1,1033,1360,0.994152046783626
1033_296_0_2,1033,1360,0.994152046783626
1034_296_1_1,1034,749,0.96895213454075
1035_296_2_2,1035,1353,0.962989323843416
1036_296_3_1,1036,634,0.868493150684931
1036_296_3_2,1036,532,0.804841149773071
1037_296_4_1,1037,768,0.928657799274486
1037_296_4_2,1037,793,0.958887545344619
1038_296_5_1,1038,256,0.596736596736597
1038_296_5_2,1038,189,0.504
1039_297_0_1,1039,1512,0.966751918158568
1039_297_0_2,1039,1514,0.968030690537084
1040_297_1_1,1040,214,0.497674418604651
1040_297_1_2,1040,215,0.56282722513089
