"fileid","fid","dist","ratio"
1000_291_6_1,1000,59,0.227799227799228
1000_291_6_2,1000,59,0.227799227799228
100_1080_0_1,100,39,0.165254237288136
1001_291_7_2,1001,44,0.435643564356436
1002_291_8_1,1002,61,0.884057971014493
1002_291_8_2,1002,52,0.753623188405797
1003_292_0_1,1003,9,0.0625
1006_292_3_1,1006,191,0.294753086419753
1006_292_3_2,1006,273,0.421296296296296
1008_292_5_2,1008,75,0.742574257425743
10_1003_0_1,10,60,0.0821917808219178
10_1003_0_2,10,97,0.122629582806574
1010_292_7_1,1010,53,0.138743455497382
1010_292_7_2,1010,27,0.0652173913043478
101_1081_0_1,101,241,0.36906584992343
1013_293_2_2,1013,55,0.544554455445545
1015_293_4_2,1015,34,0.336633663366337
1018_294_1_1,1018,39,1
1018_294_1_2,1018,28,0.217054263565891
1019_294_2_2,1019,19,0.188118811881188
102_1082_0_1,102,89,0.217073170731707
1022_294_5_2,1022,25,0.247524752475248
1023_294_6_1,1023,62,0.784810126582278
1025_294_8_1,1025,93,0.381147540983607
1025_294_8_2,1025,79,0.333333333333333
1027_295_1_1,1027,20,1
1027_295_1_2,1027,25,0.238095238095238
1028_295_2_1,1028,103,0.0761834319526627
1029_295_3_2,1029,31,0.306930693069307
103_1083_0_1,103,261,0.217863105175292
103_1083_0_2,103,66,0.0603290676416819
1033_296_0_1,1033,10,0.053475935828877
1033_296_0_2,1033,10,0.0806451612903226
1034_296_1_1,1034,27,0.658536585365854
1035_296_2_2,1035,57,0.564356435643564
1036_296_3_1,1036,98,0.331081081081081
1036_296_3_2,1036,131,0.442567567567568
1037_296_4_1,1037,62,0.179190751445087
1037_296_4_2,1037,36,0.122448979591837
1038_296_5_1,1038,200,0.619195046439629
1038_296_5_2,1038,194,0.60061919504644
1039_297_0_1,1039,54,0.0536246276067527
1039_297_0_2,1039,52,0.049476688867745
1040_297_1_1,1040,236,0.768729641693811
1040_297_1_2,1040,172,0.560260586319218
104_1084_0_1,104,125,0.367647058823529
104_1084_0_2,104,118,0.404109589041096
1041_297_2_1,1041,55,0.102040816326531
1041_297_2_2,1041,54,0.103846153846154
1043_297_4_1,1043,8,0.0146252285191956
1044_298_0_1,1044,318,0.606870229007634
1045_298_1_1,1045,67,0.0399284862932062
1045_298_1_2,1045,24,0.0143798681845416
1046_299_0_1,1046,26,0.0471869328493648
1046_299_0_2,1046,250,0.420168067226891
1047_299_1_1,1047,14,1
1047_299_1_2,1047,32,1
1049_299_3_1,1049,7,0.0068159688412853
1050_299_4_1,1050,115,0.27122641509434
1050_299_4_2,1050,114,0.266978922716628
105_1085_0_1,105,232,0.548463356973995
1051_29_0_1,1051,12,0.0368098159509202
1051_29_0_2,1051,12,0.0351906158357771
1052_29_1_1,1052,88,0.676923076923077
1053_29_2_1,1053,101,0.195736434108527
1053_29_2_2,1053,45,0.0673652694610778
1054_29_3_1,1054,12,1
1054_29_3_2,1054,16,0.188235294117647
1055_29_4_1,1055,52,0.14985590778098
1055_29_4_2,1055,84,0.355932203389831
1056_2_0_1,1056,8,0.888888888888889
1056_2_0_2,1056,10,0.153846153846154
1057_2_1_1,1057,54,0.194244604316547
1057_2_1_2,1057,49,0.180147058823529
1058_300_0_1,1058,78,0.190709046454768
1058_300_0_2,1058,78,0.217877094972067
106_1086_0_1,106,34,0.0365198711063373
106_1086_0_2,106,64,0.0620756547041707
1061_300_3_1,1061,14,0.2
1061_300_3_2,1061,5,0.0714285714285714
1062_300_4_1,1062,15,0.0255102040816327
1062_300_4_2,1062,8,0.0136054421768707
1063_300_5_1,1063,11,1
1063_300_5_2,1063,70,0.897435897435897
1067_300_9_1,1067,65,0.833333333333333
1068_300_10_1,1068,41,1
1069_300_11_1,1069,26,1
1069_300_11_2,1069,38,0.285714285714286
1070_301_0_1,1070,157,0.253634894991922
107_1087_0_1,107,23,0.106976744186047
107_1087_0_2,107,20,0.0900900900900901
1071_301_1_1,1071,28,0.0968858131487889
1071_301_1_2,1071,37,0.1280276816609
1072_301_2_1,1072,32,0.0697167755991285
1072_301_2_2,1072,264,0.63768115942029
1073_302_0_1,1073,59,0.138823529411765
1073_302_0_2,1073,211,0.447033898305085
1074_302_1_1,1074,8,0.166666666666667
1074_302_1_2,1074,8,0.0769230769230769
1075_302_2_1,1075,87,0.211678832116788
1075_302_2_2,1075,38,0.0924574209245742
1076_302_3_1,1076,38,0.0541310541310541
1076_302_3_2,1076,24,0.048
1077_302_4_1,1077,14,0.0843373493975904
1079_302_6_2,1079,19,0.372549019607843
108_1088_0_1,108,4,0.00386100386100386
108_1088_0_2,108,6,0.00655737704918033
1082_303_0_1,1082,155,0.116104868913858
1082_303_0_2,1082,67,0.0587719298245614
1084_303_2_1,1084,59,0.867647058823529
1085_303_3_1,1085,131,0.238181818181818
1085_303_3_2,1085,160,0.290909090909091
1086_303_4_1,1086,103,0.483568075117371
1086_303_4_2,1086,63,0.295774647887324
1087_303_5_1,1087,58,0.195286195286195
1087_303_5_2,1087,109,0.44672131147541
1088_303_6_1,1088,349,0.633393829401089
1088_303_6_2,1088,222,0.350157728706625
1089_304_0_1,1089,88,0.067175572519084
1089_304_0_2,1089,63,0.0474040632054176
1090_304_1_1,1090,12,1
1090_304_1_2,1090,22,0.244444444444444
109_1089_0_1,109,189,0.24934036939314
109_1089_0_2,109,18,0.0286624203821656
1091_304_2_1,1091,2,1
1091_304_2_2,1091,14,0.0927152317880795
1092_305_0_1,1092,11,0.0511627906976744
1093_305_1_1,1093,2,1
1093_305_1_2,1093,25,0.0929368029739777
1095_305_3_1,1095,26,0.481481481481481
1097_306_1_1,1097,81,0.157894736842105
1097_306_1_2,1097,68,0.145299145299145
110_108_0_1,110,34,0.0779816513761468
1102_306_6_1,1102,1,0.0714285714285714
1103_306_7_1,1103,430,0.803738317757009
1104_307_0_1,1104,424,0.649310872894334
1105_307_1_1,1105,44,0.0593792172739541
1105_307_1_2,1105,117,0.120494335736354
1106_308_0_1,1106,28,0.0252252252252252
1106_308_0_2,1106,30,0.027027027027027
1109_308_3_1,1109,45,1
1109_308_3_2,1109,33,1
11_1004_0_1,11,18,0.0256045519203414
11_1004_0_2,11,20,0.0289435600578871
1110_309_0_1,1110,186,0.163444639718805
1110_309_0_2,1110,202,0.187906976744186
111_1090_0_1,111,50,0.0745156482861401
111_1090_0_2,111,34,0.0387685290763968
1111_309_1_1,1111,15,0.102040816326531
1112_309_2_1,1112,24,0.275862068965517
1112_309_2_2,1112,5,0.0333333333333333
1113_30_0_1,1113,114,0.110787172011662
1113_30_0_2,1113,207,0.21406411582213
1114_30_1_1,1114,4,0.01
1114_30_1_2,1114,4,0.0118694362017804
1116_30_3_1,1116,2,1
1116_30_3_2,1116,26,0.440677966101695
1118_310_0_1,1118,59,0.315508021390374
1118_310_0_2,1118,90,0.687022900763359
1120_310_2_1,1120,2,1
112_1091_0_1,112,78,0.0860927152317881
1123_310_5_1,1123,24,0.571428571428571
1123_310_5_2,1123,10,0.384615384615385
1124_311_0_1,1124,18,1
1124_311_0_2,1124,4,0.0888888888888889
1125_311_1_1,1125,47,0.162068965517241
1125_311_1_2,1125,32,0.126482213438735
1127_311_3_1,1127,147,0.27683615819209
1127_311_3_2,1127,29,0.0546139359698682
1128_311_4_1,1128,310,0.738095238095238
1129_312_0_1,1129,84,0.24633431085044
1129_312_0_2,1129,135,0.475352112676056
1130_312_1_1,1130,525,0.547445255474453
1130_312_1_2,1130,229,0.275571600481348
113_1092_0_1,113,4,0.012012012012012
113_1092_0_2,113,225,0.945378151260504
1131_313_0_1,1131,159,0.241274658573596
1132_313_1_2,1132,4,1
1133_314_0_1,1133,226,0.217726396917148
1133_314_0_2,1133,191,0.169176262178919
1134_314_1_1,1134,123,0.624365482233503
1135_314_2_1,1135,38,0.27536231884058
1135_314_2_2,1135,42,1
1136_314_3_1,1136,50,0.0471253534401508
1136_314_3_2,1136,121,0.104130808950086
1137_315_0_1,1137,37,0.0297427652733119
1139_315_2_1,1139,66,0.115183246073298
1139_315_2_2,1139,139,0.242582897033159
1140_315_3_1,1140,423,0.710924369747899
114_1093_0_1,114,6,1
114_1093_0_2,114,5,0.0255102040816327
1141_315_4_1,1141,50,0.176678445229682
1141_315_4_2,1141,22,0.0836501901140684
1142_315_5_1,1142,17,0.274193548387097
1142_315_5_2,1142,24,1
1143_315_6_1,1143,21,0.0843373493975904
1143_315_6_2,1143,44,0.144262295081967
1144_316_0_1,1144,8,0.0412371134020619
1144_316_0_2,1144,18,0.0927835051546392
1145_316_1_2,1145,42,0.185022026431718
1147_317_0_1,1147,28,0.608695652173913
1148_317_1_1,1148,49,0.272222222222222
1148_317_1_2,1148,24,0.15
115_1094_0_1,115,63,0.0643513789581205
1151_318_0_1,1151,47,0.0687134502923977
1151_318_0_2,1151,62,0.0971786833855799
1152_319_0_1,1152,48,0.222222222222222
1152_319_0_2,1152,69,0.453947368421053
1153_319_1_1,1153,27,0.36986301369863
1154_31_0_1,1154,200,0.760456273764259
1154_31_0_2,1154,220,0.551378446115288
1156_31_2_1,1156,18,1
1156_31_2_2,1156,18,1
1157_31_3_1,1157,27,0.257142857142857
1157_31_3_2,1157,18,0.18
